Body
Date,Weight,BMI,Fat
"2018-11-01","186.14","27.48","23.198"
"2018-11-02","186.99","27.6","23.136"
"2018-11-03","185.32","27.35","23.673"
"2018-11-04","185.32","27.35","23.631"
"2018-11-05","187.37","27.66","23.551"
"2018-11-06","186.57","27.54","23.141"
"2018-11-07","184.37","27.21","23.054"
"2018-11-08","183.97","27.16","22.965"
"2018-11-09","184.94","27.3","22.924"
"2018-11-10","184.66","27.26","22.973"
"2018-11-11","184.38","27.22","23.022"
"2018-11-12","184.1","27.17","23.071"
"2018-11-13","183.82","27.13","23.12"
"2018-11-14","183.71","27.12","23.448"
"2018-11-15","181.13","26.74","23.346"
"2018-11-16","180.51","26.64","23.325"
"2018-11-17","183.77","27.13","23.451"
"2018-11-18","183.51","27.09","23.094"
"2018-11-19","182.16","26.89","23.305"
"2018-11-20","180.44","26.64","23.322"
"2018-11-21","181.13","26.74","23.292"
"2018-11-22","181.47","26.79","23.32"
"2018-11-23","181.81","26.84","23.348"
"2018-11-24","182.15","26.89","23.376"
"2018-11-25","182.48","26.94","23.404"
"2018-11-26","182.82","26.99","23.434"
"2018-11-27","181.33","26.77","23.506"
"2018-11-28","180.49","26.64","23.643"
"2018-11-29","182.03","26.87","23.49"
"2018-11-30","182.69","26.97","23.415"

