Body
Date,Weight,BMI,Fat
"2019-02-01","176.78","26.09","21.354"
"2019-02-02","176.8","26.1","21.352"
"2019-02-03","176.81","26.1","21.35"
"2019-02-04","176.83","26.1","21.348"
"2019-02-05","176.84","26.1","21.346"
"2019-02-06","176.86","26.11","21.344"
"2019-02-07","176.87","26.11","21.342"
"2019-02-08","176.89","26.11","21.34"
"2019-02-09","176.9","26.11","21.338"
"2019-02-10","176.92","26.12","21.336"
"2019-02-11","176.94","26.12","21.334"
"2019-02-12","176.95","26.12","21.332"
"2019-02-13","177","26.13","21.312"
"2019-02-14","176.06","25.99","19.944"
"2019-02-15","176.06","25.99","19.621"
"2019-02-16","176.34","26.03","21.36"
"2019-02-17","176.56","26.06","21.236"
"2019-02-18","176.32","26.03","21.257"
"2019-02-19","175.81","25.95","21.1"
"2019-02-20","175.81","25.95","21.236"
"2019-02-21","175.51","25.91","21.19"
"2019-02-22","177.45","26.19","21.274"
"2019-02-23","176.78","26.09","21.121"
"2019-02-24","176.82","26.1","21.169"
"2019-02-25","176.85","26.11","21.217"
"2019-02-26","176.89","26.11","21.267"
"2019-02-27","177.24","26.16","21.228"
"2019-02-28","177.58","26.21","21.189"

