Body
Date,Weight,BMI,Fat
"2019-03-01","177.93","26.26","21.15"
"2019-03-02","175.46","25.9","21.121"
"2019-03-03","177.38","26.18","20.756"
"2019-03-04","178.51","26.35","20.909"
"2019-03-05","179.65","26.52","21.063"
"2019-03-06","178.61","26.37","21.327"
"2019-03-07","178.26","26.31","21.377"
"2019-03-08","178.26","26.31","21.188"
"2019-03-09","178.26","26.31","21.15"
"2019-03-10","178.26","26.31","21.216"
"2019-03-11","178.26","26.31","21.282"
"2019-03-12","178.26","26.31","21.349"
"2019-03-13","177.18","26.15","21.382"
"2019-03-14","177.18","26.15","21.264"
"2019-03-15","177.89","26.26","21.159"
"2019-03-16","178.48","26.35","21.059"
"2019-03-17","178.48","26.35","21.123"
"2019-03-18","178.48","26.35","21.188"
"2019-03-19","179.01","26.42","21.261"
"2019-03-20","179.13","26.44","21.267"
"2019-03-21","179.25","26.46","21.274"
"2019-03-22","181.24","26.75","21.281"
"2019-03-23","179.12","26.44","21.247"
"2019-03-24","178.55","26.36","21.187"
"2019-03-25","177.97","26.27","21.127"
"2019-03-26","177.97","26.27","21.044"
"2019-03-27","177.49","26.2","21.819"
"2019-03-28","181.13","26.74","21.429"
"2019-03-29","180.3","26.61","21.429"
"2019-03-30","179.46","26.49","21.429"
"2019-03-31","178.63","26.37","21.429"

