Body
Date,Weight,BMI,Fat
"2017-11-01","178.59","26.36","20.933"
"2017-11-02","179.36","26.48","20.999"
"2017-11-03","181.06","26.73","21.231"
"2017-11-04","179.08","26.43","21.35"
"2017-11-05","179.72","26.53","21.437"
"2017-11-06","179.84","26.55","21.404"
"2017-11-07","179.96","26.56","21.371"
"2017-11-08","179.05","26.43","21.242"
"2017-11-09","179.72","26.53","21.693"
"2017-11-10","180.07","26.58","22.063"
"2017-11-11","179.76","26.53","22.004"
"2017-11-12","180.99","26.72","21.778"
"2017-11-13","182.23","26.9","21.551"
"2017-11-14","180.49","26.64","22.545"
"2017-11-15","179.14","26.44","23.399"
"2017-11-16","180.11","26.59","22.868"
"2017-11-17","181.7","26.82","22.715"
"2017-11-18","179.21","26.45","22.016"
"2017-11-19","179.8","26.54","21.885"
"2017-11-20","180.11","26.59","21.872"
"2017-11-21","180.11","26.59","21.815"
"2017-11-22","178.92","26.41","21.826"
"2017-11-23","179.72","26.53","22.082"
"2017-11-24","180.53","26.65","22.338"
"2017-11-25","181.33","26.77","22.594"
"2017-11-26","182.13","26.88","22.85"
"2017-11-27","182.93","27","23.108"
"2017-11-28","182.93","27","22.424"
"2017-11-29","181.44","26.78","22.239"
"2017-11-30","181.44","26.78","21.916"

