Body
Date,Weight,BMI,Fat
"2018-12-01","182.69","26.97","23.281"
"2018-12-02","181.37","26.77","23.272"
"2018-12-03","180.05","26.58","23.263"
"2018-12-04","180.44","26.64","23.021"
"2018-12-05","181.3","26.76","23.201"
"2018-12-06","181.92","26.85","23.031"
"2018-12-07","181.5","26.79","23.2"
"2018-12-08","181.08","26.73","23.369"
"2018-12-09","180.66","26.67","23.538"
"2018-12-10","180.24","26.61","23.707"
"2018-12-11","179.83","26.54","23.876"
"2018-12-12","179.41","26.48","24.045"
"2018-12-13","178.99","26.42","24.214"
"2018-12-14","178.57","26.36","24.383"
"2018-12-15","178.15","26.3","24.552"
"2018-12-16","177.73","26.23","24.721"
"2018-12-17","177.31","26.17","24.89"
"2018-12-18","176.87","26.11","25.069"
"2018-12-19","176.36","26.03","24.282"
"2018-12-20","175.86","25.96","23.495"
"2018-12-21","175.86","25.96","23.159"
"2018-12-22","177.75","26.24","22.826"
"2018-12-23","177.84","26.25","22.766"
"2018-12-24","177.92","26.26","22.706"
"2018-12-25","178","26.27","22.646"
"2018-12-26","178.08","26.29","22.586"
"2018-12-27","178.08","26.29","22.531"
"2018-12-28","178.08","26.29","22.479"
"2018-12-29","179.87","26.55","22.433"
"2018-12-30","176.89","26.11","22.483"
"2018-12-31","177.56","26.21","22.704"

