date,measurement,notes
2015-12-17,26.5,"end of bulk"
2016-06-14,24,"end of cut"
2017-05-27,24.25,"cutting"
2018-04-17,24.75,"bulking"
2018-05-15,25,"bulking"
2018-06-18,25.25,"bulking"
2018-07-16,25.5,"bulking"
2018-08-15,25.75,"end of bulk"
2018-09-15,25,"cutting"
2018-10-15,24.25,"cutting"
2018-11-15,24.5,"cutting"
2018-12-5,24.5,"cutting"
2019-01-15,24.25,"cutting"
2019-02-15,23.5,"end of cut"
2019-03-15,24,"maintaining"
2019-04-15,23.75,"maintaining"
